COUNTY,CONAME,STREET,CITY,STATE,ZIP,LONG,LAT
CAMDEN,McDonalds,24 W MARLTON PIKE,Barclay-Kingston,NJ,08034,39.91516108,-75.01272828
CAMDEN,McDonalds,270 ROUTE 73 NORTH (DS 551),Berlin,NJ,08091,39.80850807,-74.93174948
CAMDEN,McDonalds,1521 BLACKWOOD & CLEMENTON,Blackwood,NJ,08012,39.80365106,-75.04402014
CAMDEN,McDonalds,HADDON AVE & FEDERAL ST,Camden,NJ,08103,39.94384867,-75.11734574
CAMDEN,McDonalds,2720 MOUNT EPHRAIM AVE,Camden,NJ,08104,39.91064992,-75.09813903
CAMDEN,McDonalds,801 RT 38,Golden Triangle,NJ,08002,39.93608006,-75.04415294
CAMDEN,McDonalds,700 N. WHITE HORSE PIKE & WARWICK RD,Magnolia,NJ,08049,39.86227628,-75.03414742
CAMDEN,McDonalds,259 S BLACK HORSE PIKE,Mount Ephraim,NJ,08059,39.87586055,-75.0841238
CAMDEN,McDonalds,1021 ROUTE 73,Pennsauken,NJ,08110,39.99100045,-75.02714194
